origin_code,sum
8a194ac0175ffff,81
8a194ac01767fff,837
8a194ac0176ffff,0
8a194ac01777fff,521
8a194ac01787fff,0
8a194ac0178ffff,759
8a194ac01797fff,48
8a194ac0179ffff,273
8a194ac017a7fff,72
8a194ac017affff,177
8a194ac017b7fff,0
8a194ac01807fff,1366
8a194ac0180ffff,0
8a194ac01817fff,383
8a194ac0181ffff,67
8a194ac01827fff,95
8a194ac0182ffff,84
8a194ac01837fff,476
8a194ac01847fff,0
8a194ac0184ffff,0
8a194ac01857fff,0
8a194ac0185ffff,0
8a194ac01867fff,0
8a194ac0186ffff,0
8a194ac01877fff,0
8a194ac01887fff,0
8a194ac0188ffff,119
8a194ac01897fff,0
8a194ac0189ffff,0
8a194ac018a7fff,0
8a194ac018affff,0
8a194ac018b7fff,10
8a194ac018c7fff,0
8a194ac018cffff,0
8a194ac018d7fff,0
8a194ac018dffff,0
8a194ac018e7fff,206
8a194ac018effff,0
8a194ac018f7fff,49
8a194ac01907fff,0
8a194ac0190ffff,0
8a194ac01917fff,0
8a194ac0191ffff,0
8a194ac01927fff,0
8a194ac0192ffff,0
8a194ac01937fff,546
8a194ac01947fff,0
8a194ac0194ffff,0
8a194ac01957fff,0
8a194ac0195ffff,0
8a194ac01967fff,0
8a194ac0196ffff,0
8a194ac01977fff,0
8a194ac01987fff,1
8a194ac0198ffff,115
8a194ac01997fff,477
8a194ac0199ffff,213
8a194ac019a7fff,0
8a194ac019affff,52
8a194ac019b7fff,195
8a194ac01a07fff,0
8a194ac01a0ffff,0
8a194ac01a17fff,0
8a194ac01a1ffff,0
8a194ac01a27fff,0
8a194ac01a2ffff,0
8a194ac01a37fff,0
8a194ac01a47fff,0
8a194ac01a4ffff,0
8a194ac01a57fff,0
8a194ac01a5ffff,0
8a194ac01a67fff,0
8a194ac01a6ffff,0
8a194ac01a77fff,0
8a194ac01a87fff,0
8a194ac01a8ffff,0
8a194ac01a97fff,0
8a194ac01a9ffff,0
8a194ac01aa7fff,0
8a194ac01aaffff,0
8a194ac01ab7fff,0
8a194ac01ac7fff,0
8a194ac01acffff,0
8a194ac01ad7fff,0
8a194ac01adffff,0
8a194ac01ae7fff,0
8a194ac01aeffff,0
8a194ac01af7fff,0
8a194ac01b07fff,0
8a194ac01b0ffff,0
8a194ac01b17fff,0
8a194ac01b1ffff,0
8a194ac01b27fff,0
8a194ac01b2ffff,0
8a194ac01b37fff,576
8a194ac01b47fff,0
8a194ac01b4ffff,0
8a194ac01b57fff,0
8a194ac01b5ffff,0
8a194ac01b67fff,0
8a194ac01b6ffff,0
8a194ac01b77fff,0
8a194ac01b87fff,0
8a194ac01b8ffff,0
8a194ac01b97fff,20
8a194ac01b9ffff,0
8a194ac01ba7fff,0
8a194ac01baffff,0
8a194ac01bb7fff,0
8a194ac01c07fff,0
8a194ac01c0ffff,0
8a194ac01c17fff,595
8a194ac01c1ffff,0
8a194ac01c27fff,0
8a194ac01c2ffff,0
8a194ac01c37fff,307
8a194ac01c47fff,0
8a194ac01c4ffff,0
8a194ac01c57fff,0
8a194ac01c5ffff,0
8a194ac01c67fff,274
8a194ac01c6ffff,15
8a194ac01c77fff,0
8a194ac01c87fff,3
8a194ac01c8ffff,0
8a194ac01c97fff,0
8a194ac01c9ffff,0
8a194ac01ca7fff,0
8a194ac01caffff,0
8a194ac01cb7fff,0
8a194ac01cc7fff,0
8a194ac01ccffff,0
8a194ac01cd7fff,0
8a194ac01cdffff,711
8a194ac01ce7fff,0
8a194ac01ceffff,0
8a194ac01cf7fff,0
8a194ac01d07fff,276
8a194ac01d0ffff,0
8a194ac01d17fff,301
8a194ac01d1ffff,175
8a194ac01d27fff,0
8a194ac01d2ffff,100
8a194ac01d37fff,0
8a194ac01d47fff,356
8a194ac01d4ffff,248
8a194ac01d57fff,0
8a194ac01d5ffff,0
8a194ac01d67fff,0
8a194ac01d6ffff,397
8a194ac01d77fff,0
8a194ac01d87fff,980
8a194ac01d8ffff,608
8a194ac01d97fff,0
8a194ac01d9ffff,0
8a194ac01da7fff,420
8a194ac01daffff,177
8a194ac01db7fff,362
8a194ac02007fff,0
8a194ac02027fff,0
8a194ac02037fff,0
8a194ac02047fff,0
8a194ac0204ffff,643
8a194ac02057fff,0
8a194ac0205ffff,790
8a194ac02067fff,0
8a194ac0206ffff,886
8a194ac020cffff,0
8a194ac020effff,610
8a194ac02107fff,869
8a194ac0210ffff,197
8a194ac02117fff,0
8a194ac0211ffff,0
8a194ac02127fff,150
8a194ac0212ffff,595
8a194ac02137fff,0
8a194ac02147fff,187
8a194ac0214ffff,202
8a194ac02157fff,0
8a194ac0215ffff,0
8a194ac02167fff,91
8a194ac0216ffff,325
8a194ac02177fff,482
8a194ac02187fff,0
8a194ac021a7fff,0
8a194ac021affff,0
8a194ac02207fff,877
8a194ac0220ffff,0
8a194ac02217fff,0
8a194ac0221ffff,0
8a194ac02227fff,283
8a194ac0222ffff,1524
8a194ac02237fff,302
8a194ac02247fff,0
8a194ac0224ffff,1056
8a194ac02257fff,0
8a194ac0225ffff,0
8a194ac02267fff,39
8a194ac0226ffff,144
8a194ac02277fff,577
8a194ac022cffff,0
8a194ac022e7fff,0
8a194ac022effff,0
8a194ac02307fff,564
8a194ac0230ffff,1444
8a194ac02317fff,504
8a194ac0231ffff,772
8a194ac02327fff,7
8a194ac0232ffff,1000
8a194ac02337fff,1198
8a194ac02347fff,294
8a194ac0234ffff,0
8a194ac02357fff,713
8a194ac0235ffff,481
8a194ac02367fff,591
8a194ac0236ffff,228
8a194ac02377fff,181
8a194ac02387fff,324
8a194ac0238ffff,0
