destination_code,sum
8a194ac046a7fff,48
8a194ac046c7fff,13
8a194ac046d7fff,29
8a194ac046dffff,92
8a194ac046effff,961
8a194ac046f7fff,247
8a194ac04707fff,139
8a194ac0470ffff,511
8a194ac04717fff,14
8a194ac04727fff,232
8a194ac0472ffff,18
8a194ac04737fff,375
8a194ac0475ffff,433
8a194ac04767fff,287
8a194ac0476ffff,145
8a194ac04777fff,599
8a194ac04797fff,192
8a194ac047b7fff,233
8a194ac04807fff,757
8a194ac0480ffff,85
8a194ac0481ffff,336
8a194ac04827fff,1476
8a194ac0482ffff,283
8a194ac04847fff,1182
8a194ac0484ffff,15
8a194ac0485ffff,1963
8a194ac04867fff,274
8a194ac0486ffff,442
8a194ac04877fff,500
8a194ac04887fff,3
8a194ac048c7fff,19
8a194ac048e7fff,559
8a194ac04907fff,1344
8a194ac0490ffff,188
8a194ac0491ffff,51
8a194ac04927fff,48
8a194ac0492ffff,273
8a194ac04937fff,2019
8a194ac0494ffff,230
8a194ac04957fff,25
8a194ac0495ffff,135
8a194ac04967fff,51
8a194ac0496ffff,48
8a194ac04a07fff,44
8a194ac04a17fff,41
8a194ac04a1ffff,2
8a194ac04a2ffff,76
8a194ac04a37fff,163
8a194ac04a57fff,72
8a194ac04a5ffff,279
8a194ac04a67fff,9
8a194ac04a6ffff,34
8a194ac04a87fff,152
8a194ac04a8ffff,125
8a194ac04a97fff,201
8a194ac04a9ffff,335
8a194ac04aa7fff,1135
8a194ac04aaffff,2
8a194ac04ab7fff,565
8a194ac04ac7fff,152
8a194ac04ad7fff,2
8a194ac04adffff,63
8a194ac04ae7fff,349
8a194ac04aeffff,2
8a194ac04af7fff,1640
8a194ac04b07fff,295
8a194ac04b0ffff,2
8a194ac04b17fff,34
8a194ac04b1ffff,1060
8a194ac04b27fff,1083
8a194ac04b2ffff,204
8a194ac04b37fff,449
8a194ac04b47fff,710
8a194ac04b57fff,145
8a194ac04b5ffff,91
8a194ac04b6ffff,87
8a194ac04b77fff,57
8a194ac04b87fff,213
8a194ac04b8ffff,635
8a194ac04b9ffff,716
8a194ac04ba7fff,190
8a194ac04baffff,402
8a194ac04bb7fff,502
8a194ac04c97fff,78
8a194ac04cb7fff,1063
8a194ac04d27fff,79
8a194ac04d2ffff,15
8a194ac04d6ffff,242
8a194ac04d87fff,201
8a194ac04d97fff,939
8a194ac04d9ffff,799
8a194ac04db7fff,2076
8a194ac0501ffff,335
8a194ac05047fff,699
8a194ac05057fff,1
8a194ac0506ffff,74
8a194ac05087fff,50
8a194ac0508ffff,12
8a194ac05097fff,86
8a194ac0509ffff,388
8a194ac050a7fff,8
8a194ac050affff,273
8a194ac050c7fff,433
8a194ac050d7fff,15
8a194ac050dffff,189
8a194ac050f7fff,302
8a194ac0510ffff,68
8a194ac05117fff,389
8a194ac0511ffff,9
8a194ac05127fff,107
8a194ac0512ffff,18
8a194ac05137fff,515
8a194ac05147fff,342
8a194ac0514ffff,4
8a194ac05157fff,138
8a194ac05177fff,247
8a194ac051a7fff,408
8a194ac05207fff,73
8a194ac05227fff,781
8a194ac0522ffff,198
8a194ac05237fff,185
8a194ac0531ffff,122
8a194ac05327fff,2
8a194ac0532ffff,1037
8a194ac05337fff,176
8a194ac05347fff,9
8a194ac0534ffff,30
8a194ac05357fff,663
8a194ac0535ffff,676
8a194ac05367fff,181
8a194ac0536ffff,342
8a194ac05377fff,4
8a194ac0538ffff,133
8a194ac0539ffff,39
8a194ac053a7fff,629
8a194ac053affff,1193
8a194ac053b7fff,48
8a194ac0540ffff,55
8a194ac05417fff,111
8a194ac0541ffff,1095
8a194ac05427fff,354
8a194ac0542ffff,62
8a194ac05437fff,993
8a194ac05457fff,598
8a194ac0545ffff,742
8a194ac0546ffff,1028
8a194ac05477fff,673
8a194ac054e7fff,103
8a194ac054effff,1180
8a194ac05507fff,35
8a194ac0550ffff,58
8a194ac05517fff,4
8a194ac0551ffff,36
8a194ac0552ffff,16
8a194ac05537fff,140
8a194ac05547fff,366
8a194ac05557fff,332
